Team,ESPN_Link
AFC Bournemouth,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/349.png&scale=crop&cquality=40&location=origin&w=80&h=80
Arsenal,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/359.png&scale=crop&cquality=40&location=origin&w=80&h=80
Aston Villa,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/362.png&scale=crop&cquality=40&location=origin&w=80&h=80
Chelsea,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/363.png&scale=crop&cquality=40&location=origin&w=80&h=80
Crystal Palace,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/384.png&scale=crop&cquality=40&location=origin&w=80&h=80
Everton,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/368.png&scale=crop&cquality=40&location=origin&w=80&h=80
Leicester City,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/375.png&scale=crop&cquality=40&location=origin&w=80&h=80
Liverpool,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/364.png&scale=crop&cquality=40&location=origin&w=80&h=80
Manchester City,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/382.png&scale=crop&cquality=40&location=origin&w=80&h=80
Manchester United,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/360.png&scale=crop&cquality=40&location=origin&w=80&h=80
Newcastle United,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/361.png&scale=crop&cquality=40&location=origin&w=80&h=80
Norwich City,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/381.png&scale=crop&cquality=40&location=origin&w=80&h=80
Southampton,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/376.png&scale=crop&cquality=40&location=origin&w=80&h=80
Stoke City,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/336.png&scale=crop&cquality=40&location=origin&w=80&h=80
Sunderland,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/366.png&scale=crop&cquality=40&location=origin&w=80&h=80
Swansea City,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/318.png&scale=crop&cquality=40&location=origin&w=80&h=80
Tottenham Hotspur,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/367.png&scale=crop&cquality=40&location=origin&w=80&h=80
Watford,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/395.png&scale=crop&cquality=40&location=origin&w=80&h=80
West Bromwich Albion,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/383.png&scale=crop&cquality=40&location=origin&w=80&h=80
West Ham United,https://a.espncdn.com/combiner/i?img=/i/teamlogos/soccer/500/371.png&scale=crop&cquality=40&location=origin&w=80&h=80